title,nation,date,genre
Lucifer,United States,01/25/2016,Superhero
The Queen's Gambit,United States,10/23/2020,Drama
Squid Game,South Korea,09/17/2021,Mystery
Money Heist,Spain,05/02/2017,Action
Lupin,United States,01/08/2021,Crime
Bridgerton,United States,12/25/2020,Drama
Sex/Life,United States,06/25/2021,Drama
Who Killed Sara?,Mexico,03/24/2021,Crime
Snowpiercer,United States,05/17/2020,Science Fiction
Ginny & Georgia,United States,02/24/2021,Drama
Emily in Paris,United States,10/02/2020,Drama
The Crown,United Kingdom,11/04/2016,History
Maid,United States,10/01/2021,Drama
The Umbrella Academy,United States,02/15/2019,Superhero
You,United States,09/09/2018,Crime
Too Hot to Handle,United States,04/17/2020,Reality-Show
Sex Education,United States,01/11/2019,Comedy
Cobra Kai,United States,05/02/2018,Action
Dark Desire,Mexico,07/15/2020,Drama
Virgin River,United States,12/06/2019,Drama
Vincenzo,South Korea,02/20/2021,Crime
Outer Banks,United States,04/15/2020,Drama
Elite,Spain,10/05/2018,Crime
Behind Her Eyes,United Kingdom,02/17/2021,Crime
Dynasty,United States,10/11/2017,Drama
Never Have I Ever,United States,04/27/2020,Comedy
Shadow and Bone,United States,04/23/2021,Fantasy
Ratched,United States,09/18/2020,Drama
Sweet Tooth,United States,06/04/2021,Superhero
Dark,Germany,12/01/2017,Mystery
Good Girls,United States,02/26/2018,Comedy
Firefly Lane,United States,02/03/2021,Drama
The Serpent,United Kingdom,04/02/2021,Crime
The Haunting of Bly Manor,United States,10/09/2020,Horror
Sexify,Poland,04/28/2021,Comedy
Cursed,United States,07/17/2020,Fantasy
Jurassic World: Camp Cretaceous,United States,09/17/2020,Animation
Hometown Cha-Cha-Cha,South Korea,08/28/2021,Comedy
Fate: The Winx Saga,Italy,01/22/2021,Fantasy
Clickbait,United States,08/25/2021,Drama
El inocente,Spain,04/30/2021,Crime
It's Okay to Not Be Okay,South Korea,06/20/2020,Drama
Tiny Pretty Things,United States,12/14/2020,Drama
Arcane,United States,11/06/2021,Animation
Locked Up,Spain,04/20/2015,Drama
Hospital Playlist,South Korea,03/12/2020,Drama
Jupiter's Legacy,United States,05/07/2021,Superhero
Warrior Nun,United States,07/02/2020,Fantasy
Away,United States,09/04/2020,Science Fiction
Hit & Run,United States,08/06/2021,Mystery
Barbaren,Germany,10/23/2020,History
Unsolved Mysteries,United States,07/01/2020,Documentary
Alice in Borderland,Japan,12/10/2020,Mystery
My Name,South Korea,10/15/2021,Mystery
The Irregulars,United Kingdom,03/26/2021,Crime
Narcos: Mexico,United States,11/16/2018,Crime
The Seven Deadly Sins,Japan,10/05/2014,Animation
13 Reasons Why,United States,03/31/2017,Drama
Locke & Key,Canada,02/07/2020,Superhero
The Snitch Cartel: Origins,Colombia,07/28/2021,Crime
The Circle,United States,01/01/2020,Reality-Show
"Tiger King: Murder, Mayhem and Madness",United States,03/20/2020,Documentary
Ragnarok,Norway,01/31/2020,Fantasy
Nevertheless,South Korea,06/19/2021,Drama
Crash Landing on You,South Korea,12/14/2019,Drama
The King: Eternal Monarch,South Korea,04/17/2020,Science Fiction
White Lines,United Kingdom,05/15/2020,Crime
The Cook of Castamar,Spain,02/21/2021,Drama
The One,United Kingdom,03/12/2021,Science Fiction
The Boss Baby: Back in Business,United States,04/06/2018,Animation
Hellbound,South Korea,11/19/2021,Crime
Sky Rojo,Spain,03/19/2021,Crime
Space Force,United States,05/29/2020,Comedy
The Order,United States,03/07/2019,Fantasy
Crime Scene: The Vanishing at the Cecil Hotel,United States,02/10/2021,Documentary
Ozark,United States,07/21/2017,Drama
The Mess You Leave Behind,Spain,12/11/2020,Drama
Amar y Vivir,Colombia,01/07/2020,Drama
Turning Point: 9/11 and the War on Terror,United States,09/01/2021,Documentary
Selena: The Series,Mexico,12/04/2020,Drama
Formula 1: Drive to Survive,United Kingdom,03/08/2019,Documentary
Kastanjemanden,Denmark,09/29/2021,Crime
Floor is Lava,United States,06/19/2020,Reality-Show
Chilling Adventures of Sabrina,United States,10/26/2018,Fantasy
Sisyphus: The Myth,South Korea,02/17/2021,Science Fiction
Big Mouth,United States,09/29/2017,Animation
To the Lake,Russia,11/14/2019,Science Fiction
Sweet Home,South Korea,12/18/2020,Horror
Luis Miguel: The Series,Mexico,04/22/2018,Drama
AlRawabi School for Girls,Jordan,08/12/2021,Drama
Gabby's Dollhouse,United States,01/05/2021,Animation
Jeffrey Epstein: Filthy Rich,United States,05/27/2020,Documentary
Control Z,Mexico,05/22/2020,Drama
How to Sell Drugs Online (Fast),Germany,05/31/2019,Comedy
Midnight Mass,Canada,09/24/2021,Horror
